index,delta3_1,delta3_2,delta2_1,label
283,383,275,108,stand
284,383,275,108,stand
285,383,275,108,stand
286,391,275,116,stand
287,391,275,116,stand
288,383,267,116,stand
289,375,267,108,stand
290,375,267,108,stand
291,375,267,108,stand
292,375,267,108,stand
293,375,275,100,stand
294,383,283,100,stand
295,391,283,108,stand
296,391,275,116,stand
297,383,267,116,stand
298,375,267,108,stand
299,375,258,117,stand
300,375,258,117,stand
301,383,258,125,stand
302,383,258,125,stand
303,375,250,125,stand
304,367,250,117,stand
305,367,250,117,stand
306,375,258,117,stand
307,383,258,125,stand
308,383,258,125,stand
309,383,258,125,stand
310,375,258,117,stand
311,375,267,108,stand
312,383,275,108,stand
313,391,275,116,stand
314,391,266,125,stand
315,383,258,125,stand
316,375,258,117,stand
317,375,267,108,stand
318,375,267,108,stand
319,383,267,116,stand
320,383,267,116,stand
321,391,275,116,stand
322,383,275,108,stand
323,383,275,108,stand
324,383,275,108,stand
325,383,275,108,stand
326,383,275,108,stand
327,375,267,108,stand
328,375,267,108,stand
329,375,258,117,stand
330,383,266,117,stand
331,383,266,117,stand
332,383,275,108,stand
333,375,267,108,stand
334,375,267,108,stand
335,375,267,108,stand
336,383,275,108,stand
337,383,275,108,stand
338,383,275,108,stand
339,383,275,108,stand
340,383,275,108,stand
341,383,266,117,stand
342,383,266,117,stand
343,383,266,117,stand
344,383,275,108,stand
345,383,275,108,stand
346,383,275,108,stand
347,383,266,117,stand
348,375,258,117,stand
349,375,258,117,stand
350,375,267,108,stand
351,375,267,108,stand
352,375,267,108,stand
353,375,267,108,stand
354,375,267,108,stand
355,375,267,108,stand
356,375,267,108,stand
357,383,275,108,stand
358,383,275,108,stand
359,383,283,100,stand
360,367,267,100,stand
361,367,267,100,stand
362,367,250,117,stand
363,383,266,117,stand
364,383,266,117,stand
365,383,266,117,stand
366,383,266,117,stand
367,383,266,117,stand
368,383,266,117,stand
369,375,258,117,stand
370,383,258,125,stand
371,383,267,116,stand
372,391,275,116,stand
373,383,275,108,stand
374,383,275,108,stand
375,383,275,108,stand
376,383,275,108,stand
377,383,266,117,stand
378,383,266,117,stand
379,375,266,109,stand
380,375,266,109,stand
381,375,266,109,stand
382,383,266,117,stand
383,383,275,108,stand
384,375,267,108,stand
385,375,267,108,stand
386,375,267,108,stand
387,375,267,108,stand
388,375,267,108,stand
389,375,267,108,stand
390,392,284,108,stand
391,392,284,108,stand
392,392,284,108,stand
393,383,275,108,stand
394,383,275,108,stand
395,383,275,108,stand
396,392,284,108,stand
397,392,284,108,stand
398,392,284,108,stand
399,375,267,108,stand
400,375,267,108,stand
401,375,258,117,stand
402,375,258,117,stand
403,375,258,117,stand
404,375,267,108,stand
405,383,275,108,stand
406,391,275,116,stand
407,391,275,116,stand
408,383,267,116,stand
409,375,267,108,stand
410,375,258,117,stand
411,383,266,117,stand
412,383,266,117,stand
413,383,275,108,stand
414,383,275,108,stand
415,383,275,108,stand
416,383,266,117,stand
417,375,258,117,stand
418,375,258,117,stand
419,375,267,108,stand
420,375,267,108,stand
421,383,267,116,stand
422,383,267,116,stand
423,383,267,116,stand
424,375,267,108,stand
425,375,258,117,stand
426,383,266,117,stand
427,383,266,117,stand
428,383,266,117,stand
429,383,266,117,stand
430,383,266,117,stand
431,383,266,117,stand
432,383,266,117,stand
433,391,266,125,stand
434,391,275,116,stand
435,383,267,116,stand
436,375,267,108,stand
437,375,267,108,stand
438,375,267,108,stand
439,375,267,108,stand
440,375,258,117,stand
441,375,258,117,stand
442,375,258,117,stand
443,375,258,117,stand
444,383,266,117,stand
445,375,266,109,stand
446,375,275,100,stand
447,367,267,100,stand
448,367,267,100,stand
449,367,267,100,stand
450,367,267,100,stand
451,375,267,108,stand
452,375,258,117,stand
453,375,258,117,stand
454,375,258,117,stand
455,375,258,117,stand
456,383,266,117,stand
457,383,266,117,stand
458,383,266,117,stand
459,375,258,117,stand
460,375,258,117,stand
461,375,258,117,stand
